"306","The Office","The Office. Season 1","1535.75856399","132.9194"
"307","The Office","The Office. Season 2","5447.35399723","477.2701"
"308","The Office","The Office. Season 3","7298.21325492","638.61825"
"309","The Police","The Police Greatest Hits","112.50944614","59.64833333"
"310","The Posies","Every Kind of Light","6.38433265","6.86611666"
"311","The Rolling Stones","Hot Rocks. 1964-1971 (Disc 1)","71.98040103","38.52138333"
"312","The Rolling Stones","No Security","127.51408195","67.86948333"
"313","The Rolling Stones","Voodoo Lounge","117.26037025","62.18306666"
"314","The Tea Party","Tangents","126.01624679","67.21726666"
"315","The Tea Party","Transmission","92.6608839","49.55901666"
"316","The Who","My Generation - The Very Best Of The Who","143.16267108","76.3344"
"317","Tim Maia","Serie Sem Limite (Disc 1)","82.42875194","43.67226666"
"318","Tim Maia","Serie Sem Limite (Disc 2)","90.45460033","48.24805"
"319","Titties","Acústico","136.59859561","71.87055"
"320","Titties","Volume Dois","107.91600227","57.00475"
"321","Ton Koopman","Bach: Toccata & Fugue in D Minor","2.52717781","2.56501666"
"322","Toquinho & Vinucius","Vinucius De Moraes - Sem Limite","103.55554103","54.8975"
"323","U2","Achtung Baby","104.01759529","55.47481666"
"324","U2","All That You Can't Leave Behind","92.95651817","49.41006666"
"325","U2","B-Sides 1980-1990","112.52110576","59.91475"
"326","U2","How To Dismantle An Atomic Bomb","92.04924488","49.15585"
"327","U2","Instant Karma: The Amnesty International Campaign to Save Darfur","79.60349178","85.58143333"
"328","U2","Pop","113.11520957","60.20953333"
"329","U2","Rattle And Hum","135.37580776","72.46876666"
"330","U2","The Best Of 1980-1990","123.115592","65.5986"
"331","U2","War","79.79334831","42.16505"
"332","U2","Zooropa","94.6896429","50.38751666"
"333","UB40","UB40 The Best Of - Volume Two [UK]","112.20326232","58.72443333"
"334","Van Halen","Diver Down","58.9793291","31.50706666"
"335","Van Halen","The Best Of Van Halen. Vol I","135.40931129","72.49966666"
"336","Van Halen","Van Halen","66.54476547","35.55688333"
"337","Van Halen","Van Halen III","121.92082405","65.39003333"
"338","Various Artists","Axu Bahia 2013","90.28614997","47.04906666"
"339","Various Artists","Carnaval 2012","127.69044017","65.43358333"
"340","Various Artists","Sambas De Enredo 2012","140.51250171","73.13623333"
"341","Various Artists","Vozes do MPB","89.52629947","47.64463333"
"342","Velvet Revolver","Contraband","106.40830707","56.95118333"
"343","Vinicius De Moraes","Vinicius De Moraes","102.76759815","54.24535"
"344","Wilhelm Kempff","Bach: Goldberg Variations","1.98544979","2.00771666"
"345","Yehudi Menuhin","Bartok: Violin & Viola Concertos","9.33203315","4.98916666"
"0","Yehudi Menuhin","Peeing in the snow","8.4","5.21"
"346","Yo-Yo Ma","Bach: The Cello Suites","2.20822811","2.38813333"
"347","Zeca Pagodinho","Ao Vivo [IMPORT]","130.28577995","67.75233333"
